object_id,object_system,object_code
IDFM:22009,netex_monomodal_stopplace,monomodalStopPlace:42426
IDFM:22009,netex_zder_quay,22009
IDFM:22009,netex_zder_quay,463020
IDFM:22009,netex_zder_quay,monomodalStopPlace:42426
IDFM:22009,source,FR::Quay:22009:FR1
IDFM:22392,netex_monomodal_stopplace,monomodalStopPlace:42780
IDFM:22392,netex_zder_quay,22392
IDFM:22392,netex_zder_quay,463155
IDFM:22392,netex_zder_quay,monomodalStopPlace:42780
IDFM:22392,source,FR::Quay:22392:FR1
IDFM:21940,netex_monomodal_stopplace,monomodalStopPlace:47021
IDFM:21940,netex_zder_quay,21940
IDFM:21940,netex_zder_quay,462914
IDFM:21940,netex_zder_quay,monomodalStopPlace:47021
IDFM:21940,source,FR::Quay:21940:FR1
IDFM:22133,netex_monomodal_stopplace,monomodalStopPlace:44833
IDFM:22133,netex_zder_quay,22133
IDFM:22133,netex_zder_quay,463310
IDFM:22133,netex_zder_quay,monomodalStopPlace:44833
IDFM:22133,source,FR::Quay:22133:FR1
IDFM:22057,netex_monomodal_stopplace,monomodalStopPlace:45676
IDFM:22057,netex_zder_quay,22057
IDFM:22057,netex_zder_quay,22085
IDFM:22057,netex_zder_quay,22096
IDFM:22057,netex_zder_quay,463150
IDFM:22057,netex_zder_quay,463151
IDFM:22057,netex_zder_quay,463164
IDFM:22057,netex_zder_quay,monomodalStopPlace:45676
IDFM:22057,source,FR::Quay:22057:FR1
IDFM:463115,netex_monomodal_stopplace,monomodalStopPlace:45100
IDFM:463115,netex_zder_quay,21933
IDFM:463115,netex_zder_quay,22198
IDFM:463115,netex_zder_quay,463115
IDFM:463115,netex_zder_quay,463133
IDFM:463115,netex_zder_quay,monomodalStopPlace:45100
IDFM:463115,source,FR::Quay:463115:FR1
IDFM:463186,netex_monomodal_stopplace,monomodalStopPlace:45276
IDFM:463186,netex_zder_quay,22173
IDFM:463186,netex_zder_quay,463186
IDFM:463186,netex_zder_quay,monomodalStopPlace:45276
IDFM:463186,source,FR::Quay:463186:FR1
IDFM:22181,netex_monomodal_stopplace,monomodalStopPlace:45229
IDFM:22181,netex_zder_quay,22181
IDFM:22181,netex_zder_quay,22184
IDFM:22181,netex_zder_quay,463168
IDFM:22181,netex_zder_quay,463169
IDFM:22181,netex_zder_quay,monomodalStopPlace:45229
IDFM:22181,source,FR::Quay:22181:FR1
IDFM:463138,netex_monomodal_stopplace,monomodalStopPlace:42390
IDFM:463138,netex_zder_quay,22008
IDFM:463138,netex_zder_quay,463138
IDFM:463138,netex_zder_quay,monomodalStopPlace:42390
IDFM:463138,source,FR::Quay:463138:FR1
IDFM:463163,netex_monomodal_stopplace,monomodalStopPlace:42984
IDFM:463163,netex_zder_quay,22189
IDFM:463163,netex_zder_quay,463163
IDFM:463163,netex_zder_quay,monomodalStopPlace:42984
IDFM:463163,source,FR::Quay:463163:FR1
IDFM:463051,netex_monomodal_stopplace,monomodalStopPlace:463354
IDFM:463051,netex_zder_quay,22186
IDFM:463051,netex_zder_quay,463051
IDFM:463051,netex_zder_quay,monomodalStopPlace:463354
IDFM:463051,source,FR::Quay:463051:FR1
IDFM:463214,netex_monomodal_stopplace,monomodalStopPlace:44069
IDFM:463214,netex_zder_quay,22236
IDFM:463214,netex_zder_quay,463214
IDFM:463214,netex_zder_quay,monomodalStopPlace:44069
IDFM:463214,source,FR::Quay:463214:FR1
IDFM:22108,netex_monomodal_stopplace,monomodalStopPlace:44931
IDFM:22108,netex_zder_quay,22108
IDFM:22108,netex_zder_quay,463266
IDFM:22108,netex_zder_quay,monomodalStopPlace:44931
IDFM:22108,source,FR::Quay:22108:FR1
IDFM:463074,netex_monomodal_stopplace,monomodalStopPlace:43425
IDFM:463074,netex_zder_quay,21952
IDFM:463074,netex_zder_quay,22118
IDFM:463074,netex_zder_quay,24680
