from_stop_id,to_stop_id,transfer_type,min_transfer_time
IDFM:463079,IDFM:21966,2,12
IDFM:22156,IDFM:462955,2,11
IDFM:22168,IDFM:463026,2,162
IDFM:462972,IDFM:463300,2,140
IDFM:463159,IDFM:463158,2,180
IDFM:463129,IDFM:22178,2,180
IDFM:21964,IDFM:463300,2,480
IDFM:462948,IDFM:462947,2,97
IDFM:462961,IDFM:463316,2,284
IDFM:463309,IDFM:463048,2,300
IDFM:22196,IDFM:463037,2,14
IDFM:21969,IDFM:22162,2,157
IDFM:22195,IDFM:463246,2,180
IDFM:21906,IDFM:463188,2,86
IDFM:22026,IDFM:462962,2,175
IDFM:463166,IDFM:22211,2,5
IDFM:463021,IDFM:463022,2,72
IDFM:22190,IDFM:463124,2,361
IDFM:22052,IDFM:462973,2,14
IDFM:463072,IDFM:22018,2,103
IDFM:462953,IDFM:22234,2,10
IDFM:463265,IDFM:22369,2,13
IDFM:21921,IDFM:463036,2,14
IDFM:463223,IDFM:21999,2,13
IDFM:21928,IDFM:463038,2,26
IDFM:22190,IDFM:22189,2,325
IDFM:463178,IDFM:22016,2,12
IDFM:463032,IDFM:463008,2,167
IDFM:462962,IDFM:21918,2,180
IDFM:22376,IDFM:22079,2,73
IDFM:21949,IDFM:21947,2,106
IDFM:22392,IDFM:463155,2,13
IDFM:463197,IDFM:21958,2,420
IDFM:21994,IDFM:463108,2,111
IDFM:463008,IDFM:21952,2,304
IDFM:463257,IDFM:22078,2,57
IDFM:462969,IDFM:21963,2,207
IDFM:463189,IDFM:462969,2,289
IDFM:22391,IDFM:463106,2,349
IDFM:463095,IDFM:22118,2,247
IDFM:21911,IDFM:22218,2,480
IDFM:463253,IDFM:22129,2,12
IDFM:21964,IDFM:463188,2,274
IDFM:21965,IDFM:463063,2,180
IDFM:463013,IDFM:22086,2,0
IDFM:22164,IDFM:463318,2,96
IDFM:462954,IDFM:22038,2,361
IDFM:463067,IDFM:21919,2,138
IDFM:22026,IDFM:22199,2,188
IDFM:22097,IDFM:22010,2,180
IDFM:463310,IDFM:22133,2,0
IDFM:21994,IDFM:21997,2,137
IDFM:21952,IDFM:463095,2,13
IDFM:22195,IDFM:22030,2,180
IDFM:22137,IDFM:463161,2,448
IDFM:22095,IDFM:22170,2,374
IDFM:462963,IDFM:22026,2,194
IDFM:22200,IDFM:21925,2,269
IDFM:463167,IDFM:22212,2,5
IDFM:463105,IDFM:22175,2,0
IDFM:22085,IDFM:463164,2,96
IDFM:21923,IDFM:462956,2,366
IDFM:463008,IDFM:463009,2,236
IDFM:462993,IDFM:21973,2,159
IDFM:463244,IDFM:463245,2,180
IDFM:21957,IDFM:22178,2,180
IDFM:22162,IDFM:21969,2,133
IDFM:22364,IDFM:463159,2,360
IDFM:462946,IDFM:463316,2,266
IDFM:463127,IDFM:22177,2,0
IDFM:462995,IDFM:462998,2,119
IDFM:463280,IDFM:22003,2,12
IDFM:22056,IDFM:463084,2,354
IDFM:22072,IDFM:463067,2,11
IDFM:463304,IDFM:22044,2,13
IDFM:22137,IDFM:462998,2,376
IDFM:21952,IDFM:22118,2,242
IDFM:463048,IDFM:21925,2,285
IDFM:22151,IDFM:22158,2,106
IDFM:22364,IDFM:21959,2,360
IDFM:463180,IDFM:22082,2,300
IDFM:463083,IDFM:22229,2,2
IDFM:463048,IDFM:463059,2,294
IDFM:22123,IDFM:463120,2,0
IDFM:463021,IDFM:22148,2,83
IDFM:22087,IDFM:22092,2,113
IDFM:22114,IDFM:22059,2,299
IDFM:463074,IDFM:462981,2,156
IDFM:22184,IDFM:463169,2,180
IDFM:463171,IDFM:22147,2,0
IDFM:463065,IDFM:22054,2,0
IDFM:480330,IDFM:480290,2,13
IDFM:22059,IDFM:22114,2,299
IDFM:22108,IDFM:463266,2,3
IDFM:21964,IDFM:463189,2,303
IDFM:462995,IDFM:22145,2,10
IDFM:463310,IDFM:22054,2,373
IDFM:463151,IDFM:22057,2,180
IDFM:21997,IDFM:463122,2,123
IDFM:463112,IDFM:21955,2,12
IDFM:462994,IDFM:22136,2,137
IDFM:21971,IDFM:21982,2,368
IDFM:462955,IDFM:22156,2,11
IDFM:21959,IDFM:21966,2,420
IDFM:462986,IDFM:22029,2,9
IDFM:22175,IDFM:463105,2,0
IDFM:24680,IDFM:22118,2,146
IDFM:21970,IDFM:463083,2,144
IDFM:22082,IDFM:21931,2,300
IDFM:22052,IDFM:22132,2,172
IDFM:463054,IDFM:463048,2,300
IDFM:463226,IDFM:22206,2,13
IDFM:21903,IDFM:462961,2,10
IDFM:462999,IDFM:22012,2,12
IDFM:463269,IDFM:22400,2,12
IDFM:462989,IDFM:463037,2,344
IDFM:462990,IDFM:21948,2,11
IDFM:22142,IDFM:463072,2,22
IDFM:463079,IDFM:463159,2,420
IDFM:463106,IDFM:22391,2,349
IDFM:21902,IDFM:463316,2,258
IDFM:22242,IDFM:463302,2,11
IDFM:462950,IDFM:22043,2,2
IDFM:463313,IDFM:463264,2,63
IDFM:21974,IDFM:463234,2,120
IDFM:22218,IDFM:462969,2,179
IDFM:22145,IDFM:21978,2,86
IDFM:21968,IDFM:463078,2,60
IDFM:21963,IDFM:463189,2,345
IDFM:24682,IDFM:463254,2,79
IDFM:463036,IDFM:463037,2,180
IDFM:463001,IDFM:463021,2,55
IDFM:480330,IDFM:463212,2,180
IDFM:463294,IDFM:463293,2,180
IDFM:21963,IDFM:21962,2,180
IDFM:463158,IDFM:463160,2,125
IDFM:22125,IDFM:463113,2,0
IDFM:21970,IDFM:22229,2,152
IDFM:21969,IDFM:463194,2,157
IDFM:463239,IDFM:462956,2,367
IDFM:21937,IDFM:462960,2,10
IDFM:22143,IDFM:462996,2,10
IDFM:463163,IDFM:22189,2,12
IDFM:22026,IDFM:21902,2,258
IDFM:22376,IDFM:463249,2,13
IDFM:21904,IDFM:463239,2,63
IDFM:22145,IDFM:462995,2,10
IDFM:463095,IDFM:24680,2,166
IDFM:463063,IDFM:463081,2,180
IDFM:463244,IDFM:21932,2,360
IDFM:463144,IDFM:463145,2,154
IDFM:22149,IDFM:463182,2,184
IDFM:462971,IDFM:463188,2,342
IDFM:463115,IDFM:22198,2,22
IDFM:22044,IDFM:463062,2,337
IDFM:463038,IDFM:21928,2,26
IDFM:463058,IDFM:463049,2,180
IDFM:463206,IDFM:22382,2,16
IDFM:463282,IDFM:24684,2,0
IDFM:21959,IDFM:463060,2,360
IDFM:463006,IDFM:22367,2,2
IDFM:22366,IDFM:22391,2,349
